Ciudad,Año,Esperanza vida,Incremento
Bruselas,2024,81.60709595678415,-0.6850481236653883
Sofía,2024,74.37919132121793,-1.471464669203948
Copenhague,2024,81.17975155130965,-0.2705754897915913
Berlín,2024,81.07816633498915,-0.9792790241949789
Tallin,2024,78.27761580037921,-1.1396617827996947
Dublín,2024,82.22121732939968,-0.7110043117984799
Atenas,2024,81.41991369792171,-1.6667708962298078
Madrid,2024,83.35918686953636,-0.7510574240548129
París,2024,82.66261101281025,-0.5622386469262053
Zagreb,2024,77.96227169546131,-1.3385577126533654
Roma,2024,83.14005143084644,-1.023748296611382
Nicosia,2024,82.11075431871174,0.7370314301456737
Riga,2024,74.90285751744307,-1.0922256471107006
Vilna,2024,75.4211109164047,-1.2941880429201635
Luxemburgo,2024,82.518148237841,-0.3163224959639943
Budapest,2024,76.01091514329262,-1.6803581124141487
Valeta,2024,82.50580081655244,-0.6672275264237526
Ámsterdam,2024,81.82767036715116,-1.1504344441276237
Viena,2024,81.5947366318454,-0.5548608996399862
Varsovia,2024,77.54759948276079,-2.1728276993051687
Lisboa,2024,81.58505362238604,-1.2885013643242127
Bucarest,2024,75.00023412306157,-1.9604782705077484
Liubliana,2024,81.20470146182247,-0.788391616588302
Bratislava,2024,77.03009608531416,-1.243466557289541
Helsinki,2024,81.75830481092851,-0.8749941671574835
Estocolmo,2024,82.71319935359732,-0.7401903832985446
Praga,2024,78.7028757561954,0.6044685621825252
